Measure,Value,Measure,Value
npar,16,rmsea.ci.lower,0.000
fmin,0.607,rmsea.ci.upper,0.325
chisq,12.145,rmsea.ci.level,0.900
df,12.000,rmsea.pvalue,0.458
pvalue,0.434,rmsea.close.h0,0.050
baseline.chisq,50.476,rmsea.notclose.pvalue,0.506
baseline.df,21.000,rmsea.notclose.h0,0.080
baseline.pvalue,0.000,rmr,0.213
cfi,0.995,rmr_nomean,0.213
tli,0.991,srmr,0.237
nnfi,0.991,srmr_bentler,0.237
rfi,0.579,srmr_bentler_nomean,0.237
nfi,0.759,crmr,0.273
pnfi,0.434,crmr_nomean,0.273
ifi,0.996,srmr_mplus,0.237
rni,0.995,srmr_mplus_nomean,0.237
logl,-76.473,cn_05,18.312
unrestricted.logl,-70.400,cn_01,22.587
aic,184.945,gfi,0.772
bic,189.787,agfi,0.469
ntotal,10.000,pgfi,0.331
bic2,141.855,mfi,0.993
rmsea,0.035,ecvi,4.415
